param_i,param_j,correlation
epi_gamma1_thz,epi_gamma1_thz,1.0
epi_gamma1_thz,epi_gamma2_thz,0.37341541603822387
epi_gamma1_thz,epi_plasma1_thz,-0.52553101997613
epi_gamma1_thz,epi_plasma2_thz,0.660438236123516
epi_gamma1_thz,epi_thickness_um,-0.030536883419389
epi_gamma1_thz,oxide_thickness_um,0.0035045069697255044
epi_gamma2_thz,epi_gamma1_thz,0.37341541603822387
epi_gamma2_thz,epi_gamma2_thz,1.0
epi_gamma2_thz,epi_plasma1_thz,-0.9358924138844082
epi_gamma2_thz,epi_plasma2_thz,0.9069510084034603
epi_gamma2_thz,epi_thickness_um,-0.17623362891783312
epi_gamma2_thz,oxide_thickness_um,-0.09723624649801145
epi_plasma1_thz,epi_gamma1_thz,-0.52553101997613
epi_plasma1_thz,epi_gamma2_thz,-0.9358924138844082
epi_plasma1_thz,epi_plasma1_thz,1.0
epi_plasma1_thz,epi_plasma2_thz,-0.9617975065015973
epi_plasma1_thz,epi_thickness_um,0.16734307585218502
epi_plasma1_thz,oxide_thickness_um,0.10405580313010872
epi_plasma2_thz,epi_gamma1_thz,0.660438236123516
epi_plasma2_thz,epi_gamma2_thz,0.9069510084034603
epi_plasma2_thz,epi_plasma1_thz,-0.9617975065015973
epi_plasma2_thz,epi_plasma2_thz,1.0
epi_plasma2_thz,epi_thickness_um,-0.12520222257235036
epi_plasma2_thz,oxide_thickness_um,0.012551378897744447
epi_thickness_um,epi_gamma1_thz,-0.030536883419389
epi_thickness_um,epi_gamma2_thz,-0.17623362891783312
epi_thickness_um,epi_plasma1_thz,0.16734307585218502
epi_thickness_um,epi_plasma2_thz,-0.12520222257235036
epi_thickness_um,epi_thickness_um,1.0
epi_thickness_um,oxide_thickness_um,-0.7432086634448155
oxide_thickness_um,epi_gamma1_thz,0.0035045069697255044
oxide_thickness_um,epi_gamma2_thz,-0.09723624649801145
oxide_thickness_um,epi_plasma1_thz,0.10405580313010872
oxide_thickness_um,epi_plasma2_thz,0.012551378897744447
oxide_thickness_um,epi_thickness_um,-0.7432086634448155
oxide_thickness_um,oxide_thickness_um,1.0
